zeitstempel,paket,zahlweise,ip_adresse
2025-12-24 20:40:02,PraxisPro,monatlich,172.31.66.66
2025-12-25 00:42:27,PraxisPro,monatlich,172.31.95.130
2025-12-25 00:42:33,PraxisPro,monatlich,172.31.95.130
2025-12-25 00:42:40,PraxisPro,monatlich,172.31.95.130
2025-12-25 00:42:45,PraxisPro,monatlich,172.31.95.130
2025-12-25 00:44:33,PraxisPro,monatlich,172.31.95.130
2025-12-25 00:49:13,PraxisPro,monatlich,127.0.0.1
2025-12-25 09:29:14,PraxisPro,monatlich,172.31.93.98
2025-12-25 09:37:56,PraxisPro,monatlich,172.31.93.98
2025-12-25 09:43:10,PraxisPro,monatlich,172.31.93.98
2025-12-25 09:51:07,PraxisPro,monatlich,172.31.93.98
2025-12-25 10:34:58,PraxisPro,monatlich,172.31.92.2
2025-12-25 11:10:49,PraxisPro,monatlich,172.31.111.34
2025-12-25 13:45:18,PraxisPro,monatlich,172.31.86.130
2025-12-25 13:46:12,PraxisPro,monatlich,172.31.86.130
2025-12-25 13:49:03,PraxisPro,monatlich,172.31.86.130
2025-12-26 01:23:36,PraxisPro,monatlich,172.31.123.98
2025-12-26 10:54:10,PraxisPro,monatlich,172.31.96.194
2025-12-26 10:59:01,PraxisPro,monatlich,172.31.96.194
2025-12-26 11:17:33,PraxisPro,monatlich,172.31.96.194
2026-01-12 13:34:37,premiumplus,monatlich,172.31.92.194
